TAS7x00 Report File,,,,,,,
104,0.208,0.000327611,-0.000167962,,,,
105,0.21,0.000383877,-0.000142212,,,,
106,0.212,0.000382924,-8.38E-05,,,,
107,0.214,0.000355744,-8.00E-05,,,,
108,0.216,0.000429654,-7.69E-05,,,,
109,0.218,0.000469708,-6.35E-05,,,,
110,0.22,0.000443005,-3.71E-05,,,,
111,0.222,0.000441575,-3.92E-05,,,,
112,0.224,0.000480675,4.42E-06,,,,
113,0.226,0.000457787,3.70E-06,,,,
114,0.228,0.000514531,1.13E-05,,,,
115,0.23,0.00052073,-9.41E-06,,,,
116,0.232,0.000477814,4.38E-05,,,,
117,0.234,0.000449204,6.55E-05,,,,
118,0.236,0.000459694,6.59E-05,,,,
119,0.238,0.000440144,0.000109796,,,,
120,0.24,0.000459694,0.000115518,,,,
121,0.242,0.000494504,0.00012434,,,,
122,0.244,0.000560784,0.000178461,,,,
123,0.246,0.000524544,0.00014389,,,,
124,0.248,0.000532174,0.0001303,,,,
125,0.25,0.000486397,0.000160341,,,,
126,0.252,0.000561261,0.000136022,,,,
127,0.254,0.000553631,0.000147705,,,,
128,0.256,0.000533604,0.000144844,,,,
129,0.258,0.000545525,0.00015295,,,,
130,0.26,0.000527405,0.000160818,,,,
131,0.262,0.000486397,0.000135545,,,,
132,0.264,0.000440144,0.000157718,,,,
133,0.266,0.000394845,0.000109796,,,,
134,0.268,0.000329518,9.24E-05,,,,
135,0.27,0.000337147,8.64E-05,,,,
136,0.272,0.000294709,8.09E-05,,,,
137,0.274,0.000238919,9.57E-05,,,,
138,0.276,0.000299,6.97E-05,,,,
139,0.278,0.000245118,5.54E-05,,,,
140,0.28,0.000267052,7.43E-05,,,,
141,0.282,0.00027945,5.57E-05,,,,
142,0.284,0.000260376,5.00E-05,,,,
143,0.286,0.000267052,2.73E-05,,,,
144,0.288,0.000201725,6.90E-05,,,,
145,0.29,0.000194573,3.64E-05,,,,
146,0.292,0.000134968,1.90E-05,,,,
147,0.294,0.000150704,-1.75E-05,,,,
148,0.296,0.000149273,-2.78E-05,,,,
149,0.298,0.000104451,-7.78E-05,,,,
150,0.3,9.16E-05,-6.54E-05,,,,
151,0.302,2.53E-05,-0.000110264,,,,
152,0.304,-1.41E-06,-0.000116463,,,,
153,0.306,-5.53E-05,-0.000134583,,,,
154,0.308,-9.73E-05,-0.000120516,,,,
155,0.31,-0.000124908,-0.000120516,,,,
156,0.312,-0.000149704,-0.00013053,,,,
157,0.314,-0.00013969,-0.000142212,,,,
158,0.316,-0.00013969,-0.000200148,,,,
159,0.318,-6.58E-05,-0.000188704,,,,
160,0.32,-4.43E-05,-0.00020444,,,,
161,0.322,-4.15E-05,-0.000234004,,,,
162,0.324,-4.58E-05,-0.000262852,,,,
